URL,Current title,Status,Old length,New length,Old description,New description
https://convertyard.com/ocr-pdf/,Make a Scanned PDF Searchable — ConvertYard,Rewritten,141,158,"Make scanned PDFs searchable and selectable with free browser-based OCR. Supports English, Hindi, and 8 more languages. Files never uploaded.","Make a scanned PDF searchable and selectable with in-browser OCR. English, Hindi, and 8 more languages. Files never leave your device — no upload, no account."
https://convertyard.com/compress-image/,Compress Images — ConvertYard,Already 150–160 — not edited,158,158,"Compress JPG, PNG, and WebP images in bulk. Set quality or target file size. Batch up to 1,000 files — all processing in your browser, no uploads, no account.","Compress JPG, PNG, and WebP images in bulk. Set quality or target file size. Batch up to 1,000 files — all processing in your browser, no uploads, no account."
https://convertyard.com/png-to-jpg/,PNG to JPG Converter — ConvertYard,Rewritten,148,160,"Convert PNG to JPG in your browser. Batch up to 1,000 files — no uploads, no account. Handles transparency, quality, resize, and metadata stripping.","Convert PNG to JPG in your browser. Fill transparent areas, set quality, resize, and strip metadata. Batch up to 1,000 files — no account needed. Smaller files."
https://convertyard.com/png-to-gif/,PNG to GIF Converter — ConvertYard,Rewritten,146,155,Convert PNG to GIF or animate PNG sequences. Binary transparency handled. Two-pass palette for better colours. Batch convert locally — no uploads.,"Convert a PNG to GIF, or animate a sequence of PNGs. Binary transparency and a two-pass palette. Batch convert in your browser — no uploads. Simple motion."
https://convertyard.com/svg-to-webp/,SVG to WebP Converter — ConvertYard,Rewritten,137,160,"Convert SVG to WebP for better web performance. 25–35% smaller than PNG at equal quality. Batch convert locally — no uploads, no account.",Convert SVG to WebP for smaller web images — typically 25–35% smaller than PNG at similar quality. Batch convert in your browser. Files never leave your device.
https://convertyard.com/gif-to-jpg/,GIF to JPG Converter — ConvertYard,Rewritten,145,153,"Convert GIF to JPG in your browser. Extracts the first frame as a static image. Batch convert 1,000 GIFs at once — no uploads, no account needed.","Extract the first frame of a GIF as a static JPG. Batch up to 1,000 GIFs in your browser. Set quality. Files never leave your device — no account needed."
https://convertyard.com/jpg-to-png/,JPG to PNG Converter — ConvertYard,Already 150–160 — not edited,151,151,"Convert JPG to PNG in your browser. Batch up to 1,000 files — no uploads, no account, no watermarks. Lossless output with resize and metadata controls.","Convert JPG to PNG in your browser. Batch up to 1,000 files — no uploads, no account, no watermarks. Lossless output with resize and metadata controls."
https://convertyard.com/pdf-to-csv/,PDF to CSV Converter — ConvertYard,Rewritten,120,156,"Extract tables from any PDF as CSV files. One CSV per page, with preview. Free, local, no upload. Works in your browser.","Extract tables from a PDF into CSV files, one CSV per page, with a preview before download. Runs in your browser. Batch multiple PDFs — nothing is uploaded."
https://convertyard.com/png-to-pdf/,PNG to PDF Converter — ConvertYard,Rewritten,146,157,"Convert PNG images to PDF in your browser. Combine multiple PNGs into one PDF or create one per image. Batch convert up to 1,000 files. No upload.","Convert PNG images to PDF. Combine several into one file or make one PDF per image. Batch up to 1,000 files in your browser — no account needed. Print-ready."
https://convertyard.com/rotate-pdf/,Rotate PDF Pages — ConvertYard,Rewritten,147,160,Rotate PDF pages permanently in your browser. Rotate all pages or individual ones. Preview thumbnails before saving. Files never leave your device.,"Rotate PDF pages 90°, 180°, or 270° and save the result. All pages or selected ones. Preview first. Runs in your browser — nothing is uploaded. Kept after save."
https://convertyard.com/excel-to-pdf/,Excel to PDF Converter — ConvertYard,Rewritten,124,155,"Convert Excel spreadsheets to PDF in your browser. Multi-sheet support. Batch convert up to 1,000 files. No upload required.","Convert Excel spreadsheets to PDF in your browser. Multi-sheet workbooks, fit-to-page. Batch up to 1,000 files. Nothing is uploaded — the file stays local."
https://convertyard.com/jpg-to-pdf/,JPG to PDF Converter — ConvertYard,Rewritten,144,152,"Convert JPG, PNG, and WebP images to PDF in your browser. Combine into one PDF or create one per image. Drag to reorder. No uploads, no account.","Convert JPG, PNG, and WebP images to PDF. One image per page, or combine them. Drag to reorder. Runs in your browser — nothing is uploaded. Print-ready."
https://convertyard.com/reorder-pdf-pages/,Reorder PDF Pages — ConvertYard,Rewritten,144,158,Drag to rearrange PDF pages in your browser. Delete or duplicate pages. Undo/redo support. Preview before saving. Files never leave your device.,"Drag PDF pages into a new order. Delete or duplicate pages, undo if you miss. Preview before saving. Runs in your browser — the file never leaves your device."
https://convertyard.com/word-to-pdf/,Word to PDF Converter — ConvertYard,Rewritten,134,150,"Convert Word DOCX files to PDF in your browser. Batch convert up to 1,000 files. No upload, no account. Files never leave your device.","Convert Word DOCX files to PDF in your browser. Headings, lists, and images kept. Batch up to 1,000 files. Nothing is uploaded — the file stays local."
https://convertyard.com/gif-to-png/,GIF to PNG Converter — ConvertYard,Rewritten,145,154,"Convert GIF to PNG in your browser. Extracts the first frame as a lossless PNG. Batch convert 1,000 GIFs at once — no uploads, no account needed.","Extract the first frame of a GIF as a lossless PNG. Batch up to 1,000 GIFs in your browser. Transparency kept where the frame allows. Nothing is uploaded."
https://convertyard.com/jpg-to-bmp/,JPG to BMP Converter — ConvertYard,Rewritten,132,157,Convert JPG to uncompressed BMP for legacy Windows software and game toolchains. Batch convert locally in your browser — no uploads.,Convert JPG to uncompressed BMP for legacy Windows software and game engines. Batch convert in your browser — files never leave your device. No quality loss.
https://convertyard.com/pdf-to-word/,PDF to Word Converter — ConvertYard,Already 150–160 — not edited,151,151,"Convert PDF to editable Word (DOCX) in your browser. Free OCR for scanned PDFs. No upload, no account, no file size limit. Batch convert multiple PDFs.","Convert PDF to editable Word (DOCX) in your browser. Free OCR for scanned PDFs. No upload, no account, no file size limit. Batch convert multiple PDFs."
https://convertyard.com/merge-pdf/,Merge PDFs — ConvertYard,Rewritten,138,155,"Merge multiple PDF files into one in your browser. Drag to reorder pages before combining. No uploads, no account — runs entirely locally.",Combine several PDFs into one file. Drag pages to reorder before merging. Runs in your browser — files never leave your device. Keep the page order intact.
https://convertyard.com/jwt-decoder/,Decode a JWT — ConvertYard,Rewritten,134,154,"Paste a JWT to see its header, payload, and expiry. Optional signature check stays in your browser — the token is never sent anywhere.","Paste a JWT to inspect its header, payload, and expiry. Optional HS256, RS256, or ES256 check. Decoded in your browser — the token is never sent anywhere."
https://convertyard.com/mp4-to-mp3/,MP4 to MP3 Converter — ConvertYard,Rewritten,137,150,"Convert MP4 to MP3 in your browser. Format or switch any MP4 to MP3 — choose bitrate up to 320 kbps, batch files, no uploads, no account.",Pull the audio from an MP4 and save it as MP3. Choose bitrate up to 320 kbps. Batch multiple videos in your browser — nothing is uploaded. Audio only.
https://convertyard.com/about/,About — ConvertYard,Rewritten,96,157,Why ConvertYard exists. We got tired of uploading files to random websites just to convert them.,"ConvertYard converts files in your browser. Nothing is uploaded — photos, PDFs, and documents stay on your device. Built for batches, not one file at a time."
https://convertyard.com/image-cropper/,Crop Images — ConvertYard,Rewritten,179,151,"Crop JPG, PNG, and WebP images in batches. Preset aspect ratios for UPSC, SSC, passport, and social media. Set exact output dimensions. All processing in your browser, no uploads.","Crop JPG, PNG, and WebP in batches. Presets for UPSC, SSC, passport, and social sizes, or set exact pixels. Runs in your browser — nothing is uploaded."
https://convertyard.com/split-pdf/,Split a PDF — ConvertYard,Rewritten,136,154,"Split PDF into individual pages, chunks of N pages, or extract a page range in your browser. Batch 1,000 files — no uploads, no account.","Split a PDF into single pages, chunks of N pages, or a page range. Runs in your browser. Batch up to 1,000 files — nothing is uploaded, no account needed."
https://convertyard.com/heic-to-webp/,HEIC to WebP Converter — ConvertYard,Rewritten,142,154,"Convert iPhone HEIC photos to WebP in your browser. Batch up to 1,000 files — no uploads, no account. Smaller than JPG with excellent quality.","Convert iPhone HEIC photos to WebP in your browser. Smaller than JPG at similar quality. Batch up to 1,000 files — nothing is uploaded, no account needed."
https://convertyard.com/photo-to-text/,Photo to Text Converter — ConvertYard,Rewritten,120,156,"Extract text from photos of documents and printed pages. HEIC supported. Batch convert locally — no uploads, no account.","Extract text from photos of documents and printed pages. HEIC, JPG, and PNG. 14 languages. Batch up to 1,000 files locally — files never leave your browser."
https://convertyard.com/gif-to-mp4/,GIF to MP4 Converter — ConvertYard,Rewritten,147,154,"Convert GIFs to H.264 MP4 in your browser. Up to 95% smaller files, animation preserved. Batch convert 1,000 GIFs at once — no uploads, no account.","Convert a GIF to H.264 MP4. Same animation, often much smaller. Batch up to 1,000 GIFs in your browser — files never leave your device, no account needed."
https://convertyard.com/webp-to-gif/,WebP to GIF Converter — ConvertYard,Rewritten,141,160,"Convert animated WebP to GIF for email, legacy platforms, and anywhere WebP isn't supported. Two-pass palette GIF. Runs locally — no uploads.",Convert animated WebP to GIF for email and older tools that still need GIF. Two-pass palette. Runs in your browser — files stay on your device. Broader support.
https://convertyard.com/heic-to-avif/,HEIC to AVIF Converter — ConvertYard,Rewritten,137,152,"Convert iPhone HEIC photos to AVIF in your browser. Up to 50% smaller than JPG. Batch convert up to 1,000 files — no uploads, no account.","Convert iPhone HEIC photos to AVIF in your browser. Often around 50% smaller than JPG at similar quality. Batch up to 1,000 files — nothing is uploaded."
https://convertyard.com/scan-to-text/,Scan to Text Converter — ConvertYard,Rewritten,140,156,"Convert scanned document images (TIFF, JPG, PNG, BMP) to editable text. Batch up to 1,000 files locally. No uploads. 14 languages supported.","Turn scanned document images (TIFF, JPG, PNG, BMP) into editable text. 14 languages. Batch up to 1,000 files in your browser — no uploads. Phone photos too."
https://convertyard.com/mp4-to-webp/,MP4 to WebP Converter — ConvertYard,Rewritten,134,159,"Convert MP4 to animated WebP in your browser. Trim, resize, crop, set FPS and loop count. Built for short web animations — no uploads.","Convert MP4 clips to animated WebP in your browser. Trim, resize, crop, set FPS and loop count. Built for short web animations — files never leave your device."
https://convertyard.com/jpeg-to-text/,JPEG to Text Converter — ConvertYard,Rewritten,113,154,"Extract text from JPEG files with free browser-based OCR. No uploads, no account. 14 languages, batch processing.","Extract text from JPEG photos and scans with browser OCR. 14 languages. Batch up to 1,000 files. Nothing is uploaded — documents, receipts, printed pages."
https://convertyard.com/tiff-to-avif/,TIFF to AVIF Converter — ConvertYard,Rewritten,138,152,Convert TIFF to AVIF for web delivery. 70–80% smaller than TIFF at equivalent quality. Batch convert locally in your browser — no uploads.,Convert TIFF scans and photos to AVIF for the web. Typically 70–80% smaller than the source TIFF. Batch convert in your browser — no uploads. Web-ready.
https://convertyard.com/tiff-to-jpg/,TIFF to JPG Converter — ConvertYard,Rewritten,139,150,"Convert TIFF to JPG in your browser. Batch up to 1,000 files — no uploads, no account. Shrink scanner TIFFs by 10–50x with no visible loss.","Convert TIFF scans and photos to JPG in your browser. Shrink large scanner files with a quality slider. Batch up to 1,000 files — nothing is uploaded."
https://convertyard.com/gif-to-webp/,GIF to WebP Converter — ConvertYard,Rewritten,142,152,"Convert animated GIFs to animated WebP in your browser. 25–40% smaller files, full animation preserved. Batch convert 1,000 GIFs — no uploads.","Convert animated GIFs to animated WebP. Same motion, typically 25–40% smaller files. Batch up to 1,000 GIFs in your browser — no uploads. Keeps looping."
https://convertyard.com/redact-pdf/,Redact a PDF — ConvertYard,Rewritten,138,154,"Permanently redact text from PDFs in your browser. True redaction — content removed, not hidden. Free, local, no uploads. Output verified.","Permanently remove text from a PDF, not just hide it. Preview before you save. Runs in your browser — the file never leaves your device. Cannot be undone."
https://convertyard.com/unlock-pdf/,Remove a PDF Password — ConvertYard,Already 150–160 — not edited,156,156,"Remove the password from your own PDF files. Browser-only — your password never leaves your device. Batch unlock up to 1,000 PDFs with the correct password.","Remove the password from your own PDF files. Browser-only — your password never leaves your device. Batch unlock up to 1,000 PDFs with the correct password."
